===============================================
06/01/2015 11:48:48 By:frank
===============================================
 142 ,LS_ORDER_ID:ACO39IL3393681 ,|---->dosen't exist 
 143 ,LS_ORDER_ID:ACO39IL3394011 ,|---->dosen't exist 
 144 ,LS_ORDER_ID:ACO39IL3393271 ,|---->dosen't exist 
 145 ,LS_ORDER_ID:ACO39IL3395163 ,|---->dosen't exist 
 146 ,LS_ORDER_ID:ACO39IL3393341 ,|---->dosen't exist 
 147 ,LS_ORDER_ID:ACO39IL3393653 ,|---->dosen't exist 
 148 ,LS_ORDER_ID:ACO39IL3394401 ,|---->dosen't exist 
 149 ,LS_ORDER_ID:ACO39IL3393691 ,|---->dosen't exist 
 150 ,LS_ORDER_ID:ACO39IL3393171 ,|---->dosen't exist 
 151 ,LS_ORDER_ID:ACO39IL3393191 ,|---->dosen't exist 
 152 ,LS_ORDER_ID:ACO39IL3394411 ,|---->dosen't exist 
 171 ,LS_ORDER_ID:RIO10VISADCH1440037 ,|---->dosen't exist 
 173 ,LS_ORDER_ID:RIO10CMCH1441035R1_1 ,|---->dosen't exist 
 174 ,LS_ORDER_ID:14-49107 ,|---->dosen't exist 
 175 ,LS_ORDER_ID:649778 ,|---->dosen't exist 
 176 ,LS_ORDER_ID:4990210 ,|---->dosen't exist 
 177 ,LS_ORDER_ID:5078817 ,|---->dosen't exist 
 178 ,LS_ORDER_ID:5021807 ,|---->dosen't exist 
 179 ,LS_ORDER_ID:42827 ,|---->dosen't exist 
 180 ,LS_ORDER_ID:CAN0062289 ,|---->dosen't exist 
 181 ,LS_ORDER_ID:5109816 ,|---->dosen't exist 
 182 ,LS_ORDER_ID:645674 ,|---->dosen't exist 
 183 ,LS_ORDER_ID:5106016 ,|---->dosen't exist 
 184 ,LS_ORDER_ID:CAN0060450 ,|---->dosen't exist 
 185 ,LS_ORDER_ID:5082084 ,|---->dosen't exist 
 186 ,LS_ORDER_ID:CAN0062244 ,|---->dosen't exist 
 187 ,LS_ORDER_ID:5105884 ,|---->dosen't exist 
 188 ,LS_ORDER_ID:5116237 ,|---->dosen't exist 
 189 ,LS_ORDER_ID:5115527 ,|---->dosen't exist 
 190 ,LS_ORDER_ID:5110313 ,|---->dosen't exist 
 191 ,LS_ORDER_ID:656850 ,|---->dosen't exist 
 192 ,LS_ORDER_ID:5118203 ,|---->dosen't exist 
 193 ,LS_ORDER_ID:5115968 ,|---->dosen't exist 
 207 ,LS_ORDER_ID:ACO39IL3349672 ,|---->dosen't exist 
 208 ,LS_ORDER_ID:ACO39IL3355661 ,|---->dosen't exist 
 210 ,LS_ORDER_ID:ACO39IL3370821 ,|---->dosen't exist 
 211 ,LS_ORDER_ID:ACO39IL3372381 ,|---->dosen't exist 
 214 ,LS_ORDER_ID:ACO39IL3377936 ,|---->dosen't exist 

===============================================
06/01/2015 11:53:20 By:frank
===============================================
 1 ,LS_ORDER_ID:4958476 ,|---->dosen't exist 
 2 ,LS_ORDER_ID:4958476 ,|---->dosen't exist 
 3 ,LS_ORDER_ID:ACO39IL3126331RTS ,|---->dosen't exist 
 4 ,LS_ORDER_ID:CAN0054208 ,|---->dosen't exist 
 5 ,LS_ORDER_ID:657214 ,|---->dosen't exist 
