===============================================
17/10/2014 21:37:58 By:test100
===============================================
 557 ,LS_ORDER_ID:RIO10VISADCH1420681 ,|---->dosen't exist 
 558 ,LS_ORDER_ID:RIO10VISADCH1421353 ,|---->dosen't exist 
 560 ,LS_ORDER_ID:RIO10CBLCCH1419693 ,|---->dosen't exist 
 561 ,LS_ORDER_ID:RIO10VISADCH1419621 ,|---->dosen't exist 
 563 ,LS_ORDER_ID:RIO10VISADCH1419629 ,|---->dosen't exist 
 571 ,LS_ORDER_ID:RIO10VISADCH1421442 ,|---->dosen't exist 
 572 ,LS_ORDER_ID:BIO1139155R4 ,|---->dosen't exist 
 575 ,LS_ORDER_ID:ONO57742467 ,|---->dosen't exist 
 579 ,LS_ORDER_ID:ACO39IL3027911 ,|---->dosen't exist 
 584 ,LS_ORDER_ID:ONO57742310 ,|---->dosen't exist 
 585 ,LS_ORDER_ID:RIO10VISADCH1421440 ,|---->dosen't exist 
 592 ,LS_ORDER_ID:RIO10CMCH1420603R2 ,|---->dosen't exist 
 594 ,LS_ORDER_ID:RIO10CMCH1421237R6 ,|---->dosen't exist 
 598 ,LS_ORDER_ID:RIO10VISADCH1419596 ,|---->dosen't exist 
 601 ,LS_ORDER_ID:HMO737220312538 ,|---->dosen't exist 
 603 ,LS_ORDER_ID:RIO10VISADCH1419741 ,|---->dosen't exist 
 606 ,LS_ORDER_ID:RIO10COBGPCH1417393 ,|---->dosen't exist 
 607 ,LS_ORDER_ID:CAO3210213681 ,|---->dosen't exist 
 608 ,LS_ORDER_ID:INO4340455 ,|---->dosen't exist 
 611 ,LS_ORDER_ID:ACO39IL3057102 ,|---->dosen't exist 
 615 ,LS_ORDER_ID:ACO39IL3060671 ,|---->dosen't exist 
 617 ,LS_ORDER_ID:ONO57739957 ,|---->dosen't exist 
 623 ,LS_ORDER_ID:RIO10VISADCH1421182 ,|---->dosen't exist 
 633 ,LS_ORDER_ID:BIO1140500R6 ,|---->dosen't exist 
 636 ,LS_ORDER_ID:ACO39IL3039261 ,|---->dosen't exist 
 644 ,LS_ORDER_ID:ACO39IL3058172 ,|---->dosen't exist 
 645 ,LS_ORDER_ID:ACO39IL3058401 ,|---->dosen't exist 
 648 ,LS_ORDER_ID:RIO10CMCH1421189 ,|---->dosen't exist 
 651 ,LS_ORDER_ID:ONO57737990 ,|---->dosen't exist 
 653 ,LS_ORDER_ID:RIO10VISADCH1421473 ,|---->dosen't exist 
 656 ,LS_ORDER_ID:INO43B41946 ,|---->dosen't exist 
 657 ,LS_ORDER_ID:HMO735721203971 ,|---->dosen't exist 
 658 ,LS_ORDER_ID:BIO1140380R13 ,|---->dosen't exist 
 660 ,LS_ORDER_ID:RIO10VISADCH1421507 ,|---->dosen't exist 
 661 ,LS_ORDER_ID:RIO10VISADCH1421375 ,|---->dosen't exist 
 663 ,LS_ORDER_ID:ONO57740222 ,|---->dosen't exist 
 665 ,LS_ORDER_ID:BIO1140380R12 ,|---->dosen't exist 
 667 ,LS_ORDER_ID:ACO39IL3038471 ,|---->dosen't exist 
 670 ,LS_ORDER_ID:ONO57740222R1 ,|---->dosen't exist 
 679 ,LS_ORDER_ID:BIO1140500R3 ,|---->dosen't exist 
 683 ,LS_ORDER_ID:ACO39IL3058812 ,|---->dosen't exist 
 690 ,LS_ORDER_ID:VIO45TCLV-131648 ,|---->dosen't exist 
 699 ,LS_ORDER_ID:RIO10VISADCH1420132 ,|---->dosen't exist 
 707 ,LS_ORDER_ID:RIO10VISADCH1420105 ,|---->dosen't exist 
 711 ,LS_ORDER_ID:RIO10VISADCH1421659 ,|---->dosen't exist 
 713 ,LS_ORDER_ID:RIO10VISADCH1420236 ,|---->dosen't exist 
 717 ,LS_ORDER_ID:RIO10VISADCH1420232 ,|---->dosen't exist 
 723 ,LS_ORDER_ID:RIO10VISADCH1419019 ,|---->dosen't exist 
 725 ,LS_ORDER_ID:RIO10VISADCH1421518 ,|---->dosen't exist 
 733 ,LS_ORDER_ID:RIO10VISADCH1421672 ,|---->dosen't exist 
 734 ,LS_ORDER_ID:RIO10CMMCH1421745 ,|---->dosen't exist 
 736 ,LS_ORDER_ID:RIO10VISADCH1417238 ,|---->dosen't exist 
 738 ,LS_ORDER_ID:RIO10CBLCCH1420159 ,|---->dosen't exist 
 739 ,LS_ORDER_ID:RIO10VISADCH1419461 ,|---->dosen't exist 
 740 ,LS_ORDER_ID:RIO10VISADCH1420095 ,|---->dosen't exist 
 741 ,LS_ORDER_ID:RIO10CBLCCH1419988 ,|---->dosen't exist 
